eviction_id,address,zip,file date,year,reason,latitude,longitude,supervisor_district,neighborhood
M151087,300 Block of Edinburgh Street,94112,5/5/15,2015,Owner Move In,37.72353546,-122.4301834,11,Excelsior
M151084,1900 Block of Bush Street,94115,5/4/15,2015,Owner Move In,37.78749147,-122.4293357,5,Pacific Heights
M151086,100 Block of Precita Avenue,94110,5/4/15,2015,Owner Move In,37.74715297,-122.4172463,9,Bernal Heights
M151083,700 Block of London Street,94112,5/4/15,2015,Owner Move In,37.71756679,-122.4392652,11,Excelsior
M151085,600 Block of Monterey Boulevard,94127,5/4/15,2015,Owner Move In,37.73163575,-122.4500071,7,West of Twin Peaks
M151080,,94109,5/4/15,2015,Non Payment, QNAN,#VALUE!,,
M151080,,94109,5/4/15,2015,Breach, QNAN,#VALUE!,,
M151078,1200 Block of 18th Avenue,94122,5/4/15,2015,Breach,37.76455056,-122.4761896,4,Inner Sunset
M151081,0 Block of Stoneyford Avenue,94112,5/4/15,2015,Owner Move In,37.73027328,-122.4209431,9,Excelsior
M151082,100 Block of Ramsell Street,94132,5/4/15,2015,Owner Move In,37.71360961,-122.4661217,11,Oceanview/Merced/Ingleside
M151077,1800 Block of 33rd Avenue,94122,5/1/15,2015,Breach,37.75264174,-122.4914791,4,Sunset/Parkside
M151077,1800 Block of 33rd Avenue,94122,5/1/15,2015,Nuisance,37.75264174,-122.4914791,4,Sunset/Parkside
M151075,2100 Block of 30th Avenue,94116,5/1/15,2015,Demolition,37.74718942,-122.4878702,4,Sunset/Parkside
M150985,4100 Block of 24th Street,94114,5/1/15,2015,Owner Move In,37.75117376,-122.4351882,8,Noe Valley
M150986,2900 Block of Franklin Street,94123,5/1/15,2015,Owner Move In,37.80159236,-122.4262103,2,Marina
M151068,2300 Block of Powell Street,94133,5/1/15,2015,Breach,37.80630033,-122.4119774,3,North Beach
M151068,2300 Block of Powell Street,94133,5/1/15,2015,Nuisance,37.80630033,-122.4119774,3,North Beach
M151067,1900 Block of 19th Avenue,94116,5/1/15,2015,Nuisance,37.75145098,-122.4760973,7,Inner Sunset
M151074,900 Block of Bush Street,94109,5/1/15,2015,Other Cause,37.78968885,-122.4129131,3,Nob Hill
M151079,0 Block of Seward Street,94114,5/1/15,2015,Ellis Act WithDrawal,37.75785414,-122.4393639,8,Twin Peaks
M151076,900 Block of Geary Street,94109,5/1/15,2015,Breach,37.78605122,-122.4189243,6,Tenderloin
M150984,0 Block of San Carlos Street,94110,5/1/15,2015,Owner Move In,37.762232,-122.4201023,9,Mission
M151054,400 Block of Hyde Street,94109,4/30/15,2015,Nuisance,37.78490368,-122.416234,6,Tenderloin
M151054,400 Block of Hyde Street,94109,4/30/15,2015,Late Payments,37.78490368,-122.416234,6,Tenderloin
M150982,400 Block of La Grande Avenue,94112,4/30/15,2015,Owner Move In,37.71688321,-122.426832,11,Excelsior
M151055,800 Block of Van Ness Avenue,94102,4/30/15,2015,Breach,37.78362007,-122.4208131,6,Tenderloin
